Name,Latest Chapter,Dated Released,depth,download_timeout,download_slot,download_latency,Link,Genre,Status,Rating,img-link
Vampire Chef,Chapter 79,"Apr 28,21",2,180.0,manganelo.com,0.36571359634399414,https://manganelo.com/manga/sg920868,"Romance,Shoujo,Webtoons",Ongoing,4.4,https://avt.mkklcdnv6temp.com/34/s/19-1583500455.jpg
Part Time Boyfriend,Chapter 1 : Prologue,"Apr 28,21",2,180.0,manganelo.com,0.45769691467285156,https://manganelo.com/manga/vn926396,"Comedy,Drama,Harem,Romance",Ongoing,4.26,https://avt.mkklcdnv6temp.com/6/n/24-1618846160.jpg
Ningen Desuga Maou Totsugu Koto Ni Narimashita,Chapter 66,"Apr 28,21",2,180.0,manganelo.com,0.5007622241973877,https://manganelo.com/manga/op918407,"Fantasy,Romance",Ongoing,4.76,https://avt.mkklcdnv6temp.com/44/s/17-1583496873.jpg
Drop-Dead Beauty,Chapter 144,"Apr 28,21",2,180.0,manganelo.com,0.4960520267486572,https://manganelo.com/manga/bx924817,"Drama,Fantasy,Historical,Romance,Shoujo,Webtoons",Ongoing,4.51,https://avt.mkklcdnv6temp.com/41/n/22-1606750845.jpg
A Thousand Tricks Of Hunting You,Chapter 5,"Apr 28,21",2,180.0,manganelo.com,0.5168864727020264,https://manganelo.com/manga/gr926451,"Drama,Romance,Shoujo",Ongoing,4.47,https://avt.mkklcdnv6temp.com/8/u/24-1619406326.jpg
Running A Love Hotel With My Math Teacher,Chapter 164,"Apr 28,21",2,180.0,manganelo.com,0.511307954788208,https://manganelo.com/manga/tg926412,"Romance,School life,Shoujo",Ongoing,4.07,https://avt.mkklcdnv6temp.com/7/d/24-1619023798.jpg
Wanna Be A Star,Chapter 29,"Apr 28,21",2,180.0,manganelo.com,0.6608943939208984,https://manganelo.com/manga/ge925588,"Comedy,Drama,Gender bender,Romance,Shoujo",Ongoing,4.27,https://avt.mkklcdnv6temp.com/23/b/23-1612840139.jpg
I Fell In Love With My Sister's Boyfriend,Chapter 62,"Apr 28,21",2,180.0,manganelo.com,0.6790578365325928,https://manganelo.com/manga/qp926408,"Romance,Webtoons,Yaoi",Ongoing,2.16,https://avt.mkklcdnv6temp.com/6/z/24-1619021014.jpg
The Demon King Diaries,Chapter 16,"Apr 28,21",2,180.0,manganelo.com,0.4528651237487793,https://manganelo.com/manga/jc926431,"Adventure,Fantasy",Ongoing,4.22,https://avt.mkklcdnv6temp.com/7/x/24-1619237340.jpg
We’Re Soulmates Starting From Today,Chapter 2,"Apr 28,21",2,180.0,manganelo.com,0.30524206161499023,https://manganelo.com/manga/zh926437,"Comedy,Drama,Romance,Shoujo",Ongoing,4.5,https://avt.mkklcdnv6temp.com/8/f/24-1619238846.jpg
"Father, I Won’T Do Anything",Chapter 0 : Promo,"Apr 28,21",2,180.0,manganelo.com,0.32128405570983887,https://manganelo.com/manga/sr926436,"Drama,Fantasy,Romance",Ongoing,4.61,https://avt.mkklcdnv6temp.com/8/e/24-1619238344.jpg
My One And Only Cat,Chapter 21,"Apr 28,21",2,180.0,manganelo.com,0.2977914810180664,https://manganelo.com/manga/ls919885,"Comedy,Romance,Smut,Supernatural,Webtoons,Yaoi",Ongoing,4.36,https://avt.mkklcdnv6temp.com/48/r/18-1583499000.jpg
You’Ve Won Me Over,Chapter 34,"Apr 28,21",2,180.0,manganelo.com,0.3105306625366211,https://manganelo.com/manga/kr926413,"Fantasy,Historical,Romance,Shoujo",Ongoing,2.73,https://avt.mkklcdnv6temp.com/7/e/24-1619062135.jpg
He Is So Flirty,Chapter 11,"Apr 28,21",2,180.0,manganelo.com,0.48482275009155273,https://manganelo.com/manga/gn926435,"Comedy,Drama,Romance",Ongoing,4.87,https://avt.mkklcdnv6temp.com/8/d/24-1619238114.jpg
Knight In Rain,Chapter 2,"Apr 28,21",2,180.0,manganelo.com,0.5613923072814941,https://manganelo.com/manga/jd926433,"Action,Adventure,Comedy,Fantasy,Romance",Ongoing,3.33,https://avt.mkklcdnv6temp.com/8/b/24-1619237766.jpg
The Prince Consort Is Passing,Chapter 1,"Apr 28,21",2,180.0,manganelo.com,0.5728209018707275,https://manganelo.com/manga/mp926434,"Comedy,Fantasy,Romance,School life,Slice of life",,3.73,https://avt.mkklcdnv6temp.com/8/c/24-1619237925.jpg
When The Villainess Loves,Chapter 49,"Apr 28,21",2,180.0,manganelo.com,0.2987253665924072,https://manganelo.com/manga/qw924246,Romance,Ongoing,4.86,https://avt.mkklcdnv6temp.com/17/v/22-1600569892.jpg
Night Lovers,Chapter 10,"Apr 28,21",2,180.0,manganelo.com,0.3167283535003662,https://manganelo.com/manga/ap924869,"Drama,Romance",Ongoing,3.8,https://avt.mkklcdnv6temp.com/43/s/22-1607398710.jpg
I Am Han Sanqian,Chapter 29,"Apr 28,21",2,180.0,manganelo.com,0.3293609619140625,https://manganelo.com/manga/lw923952,"Drama,Romance",Ongoing,4.57,https://avt.mkklcdnv6temp.com/6/f/22-1598783052.jpg
Asirhart Kingdom’S Aide,Chapter 14,"Apr 28,21",2,180.0,manganelo.com,0.2877342700958252,https://manganelo.com/manga/lu926415,"Drama,Fantasy,Historical,Romance",Ongoing,33337.88,https://avt.mkklcdnv6temp.com/7/g/24-1619063057.jpg
The Ethiopian Pilgrimage,Chapter 98,"Apr 28,21",2,180.0,manganelo.com,0.3217329978942871,https://manganelo.com/manga/sx922532,"Action,Adventure,Webtoons",Ongoing,4.48,https://avt.mkklcdnv6temp.com/47/q/20-1585197831.jpg
Kung Fu Beauty,Chapter 25,"Apr 28,21",2,180.0,manganelo.com,0.2895469665527344,https://manganelo.com/manga/bv926365,"Historical,Romance,Webtoons",Ongoing,4.4,https://avt.mkklcdnv6temp.com/5/i/24-1618377987.jpg
I'll Do That Marriage,Chapter 34,"Apr 28,21",2,180.0,manganelo.com,0.3169546127319336,https://manganelo.com/manga/jg923309,"Drama,Fantasy,Romance,Webtoons",Ongoing,4.77,https://avt.mkklcdnv6temp.com/30/n/21-1592796052.jpg
Coffee Thief,Chapter 5,"Apr 28,21",2,180.0,manganelo.com,0.5716636180877686,https://manganelo.com/manga/rm924710,"Adventure,Fantasy",Ongoing,3.95,https://avt.mkklcdnv6temp.com/36/v/22-1605084502.jpg
Banana Scandal,Chapter 85 : The Man Of His Past,"Apr 28,21",3,180.0,manganelo.com,0.318225622177124,https://manganelo.com/manga/kp926302,"Drama,Smut,Yaoi",Ongoing,2.73,https://avt.mkklcdnv6temp.com/2/v/24-1617806905.jpg
I Just Want To Be A Useless Duke's Daughter,Chapter 86,"Apr 28,21",3,180.0,manganelo.com,0.35227298736572266,https://manganelo.com/manga/xf923071,"Fantasy,Historical,Romance,Webtoons",Ongoing,4.59,https://avt.mkklcdnv6temp.com/20/h/21-1590646689.jpg
Anti P.t.,Chapter 56,"Apr 28,21",3,180.0,manganelo.com,0.34548234939575195,https://manganelo.com/manga/cb926161,"Comedy,Mature,Romance,Shounen ai,Smut,Yaoi",Ongoing,3.79,https://avt.mkklcdnv6temp.com/46/u/23-1617092116.jpg
The Sacrificial Princess,Chapter 11,"Apr 28,21",3,180.0,manganelo.com,0.4028506278991699,https://manganelo.com/manga/wz926438,"Drama,Fantasy,Romance",Ongoing,4.75,https://avt.mkklcdnv6temp.com/8/h/24-1619239113.jpg
Happy Negative Marriage,Chapter 30,"Apr 28,21",3,180.0,manganelo.com,0.4332869052886963,https://manganelo.com/manga/happy_negative_marriage,"Adult,Drama,Ecchi,Romance,Seinen,Slice of life",Ongoing - No Set Relea,3.92,https://avt.mkklcdnv6temp.com/50/c/1-1583465681.jpg
Isekai Nonbiri Nouka,Chapter 145,"Apr 28,21",3,180.0,manganelo.com,0.3830556869506836,https://manganelo.com/manga/isekai_nonbiri_nouka,"Adventure,Fantasy,Harem,Romance,Shounen,Slice of life",Ongoing,4.67,https://avt.mkklcdnv6temp.com/50/v/15-1583493491.jpg
Volcanic Age,Chapter 168,"Apr 28,21",3,180.0,manganelo.com,0.3422269821166992,https://manganelo.com/manga/volcanic_age,"Action,Adventure,Fantasy,Shounen",Ongoing,4.83,https://avt.mkklcdnv6temp.com/47/t/15-1583493384.jpg
